firstname,lastname,addressLine1,addressLine2,comment,email,itemnumber,phone,zipcode
arya1,stark1,1 North street,Europe,test csv comment,as@email.com,1,1111111111,111111
arya2,stark2,2 North street,Europe,test csv comment,as@email.com,2,1111111112,111112
arya3,stark3,3 North street,Europe,test csv comment,as@email.com,3,1111111113,111113
arya4,stark4,4 North street,Europe,test csv comment,as@email.com,4,1111111114,111114
arya5,stark5,5 North street,Europe,test csv comment,as@email.com,5,1111111115,111115
arya6,stark6,6 North street,Europe,test csv comment,as@email.com,6,1111111116,111116
arya7,stark7,7 North street,Europe,test csv comment,as@email.com,7,1111111117,111117
arya8,stark8,8 North street,Europe,test csv comment,as@email.com,8,1111111118,111118
arya9,stark9,9 North street,Europe,test csv comment,as@email.com,9,1111111119,111119
arya10,stark10,10 North street,Europe,test csv comment,as@email.com,10,1111111120,111120
